Dataset,caltech101
Handcrafted CLIP Accuracy,87.67281105990783
CoOp Accuracy,95.79493087557604
Improvement,8.122119815668214

Mean Training Accuracy,95.54098833021179
Variance Training Accuracy,3.3673293222708054
Mean Training Loss,0.12666171574651905
Variance Training Loss,0.002177538988435818

Epoch,Train Loss,Train Accuracy
1,0.2352101811961819,90.95231234692407
2,0.1739477018780292,94.06425587091198
3,0.1389031044922256,95.38971329779571
4,0.1262012212681193,95.6490419247947
5,0.11433899656019943,96.0092205734044
6,0.11004697467648995,96.23973490851462
7,0.10217961242464906,96.3982135139029
8,0.09403862321728138,96.81602074629016
9,0.08816261511664532,96.84483503817894
10,0.08358812663536955,97.04653508140038
