Dataset,flowers102
Handcrafted CLIP Accuracy,64.98617661408359
CoOp Accuracy,86.01398601398601
Improvement,21.027809399902424

Mean Training Accuracy,83.60784313725489
Variance Training Accuracy,91.64381220897944
Mean Training Loss,0.6554860908887349
Variance Training Loss,0.14366562460008764

Epoch,Train Loss,Train Accuracy
1,1.40832315152511,65.98039215686275
2,1.138393474277109,71.66666666666667
3,0.8686580769717693,77.25490196078431
4,0.715903852134943,80.88235294117646
5,0.5898074309807271,84.01960784313725
6,0.4743527148384601,87.25490196078431
7,0.4129721806384623,89.80392156862744
8,0.3337054057046771,92.25490196078431
9,0.32501613057684153,92.45098039215686
10,0.2877284912392497,94.50980392156863
