Dataset,stl10
Handcrafted CLIP Accuracy,96.925
CoOp Accuracy,98.4
Improvement,1.4750000000000085

Mean Training Accuracy,98.844
Variance Training Accuracy,0.11784888888888882
Mean Training Loss,0.035302939550500526
Variance Training Loss,0.00014569830063615498

Epoch,Train Loss,Train Accuracy
1,0.0636569178101016,98.08
2,0.04583940407731377,98.5
3,0.038184123686715636,98.8
4,0.03493189011620858,98.88
5,0.03529240427225956,98.74
6,0.030193604396448987,98.98
7,0.02893749383133509,99.02
8,0.028916324974657348,99.16
9,0.024893028826793857,99.04
10,0.022184203513170825,99.24
